App.,Taxon,Term,Unit,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,bodies,Number of specimens,DE,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,bodies,Number of specimens,FR,,,,,,,,,,,,,,,,,,,,,1,1,,,
I,Acinonyx jubatus,bodies,Number of specimens,GB,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,bodies,Number of specimens,HU,,,,,,,,,,,,,,,,,,,,,1,,,,
I,Acinonyx jubatus,bodies,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,,2,1,2,,
I,Acinonyx jubatus,bodies,Number of specimens,QA,,,,,,,,,,,,,,,,,,,12,,,,,,
I,Acinonyx jubatus,bodies,Number of specimens,ZA,,,,,,,,,,,,,,,,,,,,,1,2,2,,
I,Acinonyx jubatus,bodies,,AE,,,2,2,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,BE,,,,,,,,2,,,,3,3,1,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,CA,,,,,,,,,,,,,,,,,,1,2,3,,,,,
I,Acinonyx jubatus,bodies,,CH,,,,,,,,,,,,,,,,,1,,,,,,,,
I,Acinonyx jubatus,bodies,,CN,,,,,,,,,,,,,,,,,2,,,,,,,,
I,Acinonyx jubatus,bodies,,DE,,,,,,,,,,,,1,1,,1,,,1,,1,,,,,
I,Acinonyx jubatus,bodies,,DK,,,,,,,,,1,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,FR,,,,,,2,,1,,2,,,,,1,1,,,,1,,,,,
I,Acinonyx jubatus,bodies,,HK,,,,,,,,1,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,KR,,,,,,,,,,,,,,1,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,NA,,,2,,,,,,,,6,,11,1,,1,6,2,,,,,,,
I,Acinonyx jubatus,bodies,,NE,1,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,US,,,,,,,,,,,,,,,,,,1,,,,,,,
I,Acinonyx jubatus,bodies,,ZA,2,,,,,5,,2,2,,3,4,9,3,2,4,2,4,5,,,,2,,
I,Acinonyx jubatus,bodies,,ZW,,,,,,,1,1,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bones,,NA,,1,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,claws,,KE,,,,,1,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,claws,,ZA,,,,,,,,,4,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,claws,,ZW,18,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,derivatives,,CN,,,,,,,,,,2,2,,,,,,,,,,,,,,
I,Acinonyx jubatus,derivatives,,HK,,,,,,,,,,2,,,,,,,,,,,,,,,
I,Acinonyx jubatus,derivatives,,RU,,,,,,,,,,,,,,,,,,1,,,,,,,
I,Acinonyx jubatus,derivatives,,ZA,,,,,,,,,,,,50,,,,,,,,,,,,,
I,Acinonyx jubatus,fur product (small),Number of specimens,AU,,,,,,,,,,,,,,,,,,,,,1,,,,
I,Acinonyx jubatus,fur product (small),,GB,,,,,,,,,,,,,,,,,,,1,,,,,,
I,Acinonyx jubatus,garments,,AU,,,,,,,,,,,,,,,,,,1,,,,,,,
I,Acinonyx jubatus,garments,,CH,,,,,1,,,,,,,,,,,,,,,,,,,,
