App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,bodies,Number of specimens,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,bodies,Number of specimens,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
I,Acinonyx jubatus,bodies,Number of specimens,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,bodies,Number of specimens,HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
I,Acinonyx jubatus,bodies,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,
I,Acinonyx jubatus,bodies,Number of specimens,QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
I,Acinonyx jubatus,bodies,Number of specimens,ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,,
I,Acinonyx jubatus,bodies,,AE,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,3,1,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,
I,Acinonyx jubatus,bodies,,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
I,Acinonyx jubatus,bodies,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
I,Acinonyx jubatus,bodies,,DE,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,1,,,,,
I,Acinonyx jubatus,bodies,,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,FR,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,2,,1,,2,,,,,1,1,,,,1,,,,,
I,Acinonyx jubatus,bodies,,GB,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,NA,,,,,,,,,,,1,,,,1,1,1,,,1,2,10,1,,,,,2,,,,,,,,6,,11,1,,1,6,2,,,,,,,
I,Acinonyx jubatus,bodies,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,bodies,,US,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
