App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,live,kg,BJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,,,,,,,
I,Acinonyx jubatus,live,Number of specimens,AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,
I,Acinonyx jubatus,live,Number of specimens,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
I,Acinonyx jubatus,live,Number of specimens,AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Acinonyx jubatus,live,Number of specimens,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
I,Acinonyx jubatus,live,Number of specimens,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,
I,Acinonyx jubatus,live,Number of specimens,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,
I,Acinonyx jubatus,live,Number of specimens,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,
I,Acinonyx jubatus,live,Number of specimens,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
I,Acinonyx jubatus,live,Number of specimens,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
I,Acinonyx jubatus,live,Number of specimens,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,1,1,
I,Acinonyx jubatus,live,Number of specimens,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,
I,Acinonyx jubatus,live,Number of specimens,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,
I,Acinonyx jubatus,live,Number of specimens,JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
I,Acinonyx jubatus,live,Number of specimens,KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
I,Acinonyx jubatus,live,Number of specimens,MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,24,,
I,Acinonyx jubatus,live,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
I,Acinonyx jubatus,live,Number of specimens,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
I,Acinonyx jubatus,live,Number of specimens,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
I,Acinonyx jubatus,live,Number of specimens,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,
I,Acinonyx jubatus,live,Number of specimens,SY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
I,Acinonyx jubatus,live,Number of specimens,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
I,Acinonyx jubatus,live,Number of specimens,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
I,Acinonyx jubatus,live,Number of specimens,ZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,12,44,53,98,4
I,Acinonyx jubatus,live,Number of specimens,ZW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
I,Acinonyx jubatus,live,,AE,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,5,,6,14,4,15,4,5,20,4,,1,4,2,3,,,,,2,,
I,Acinonyx jubatus,live,,AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,
I,Acinonyx jubatus,live,,AT,,,,,,,,,,,4,1,2,,1,,,,,1,,,,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,1,
I,Acinonyx jubatus,live,,AU,,,,,,,,,,,,,,2,,,4,,,,,,,,,,2,,,,1,,2,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
I,Acinonyx jubatus,live,,BE,,,,,2,6,2,,1,,,2,,,3,,,,,,,2,2,1,2,,1,,,,,,,2,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,BG,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,BH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,
I,Acinonyx jubatus,live,,BW,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,BZ,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,CA,,6,,,2,2,,,,4,4,,2,,,,,,1,,,,,,,4,,,,,,,,,,2,7,,7,,,,,2,,,,,,
I,Acinonyx jubatus,live,,CH,,1,1,,1,,,2,3,1,,,,,,,,,,2,,8,3,2,,1,1,2,3,1,2,2,1,6,4,1,4,,,2,,4,,,4,,,,,
I,Acinonyx jubatus,live,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,8,,,,,,,,,,
I,Acinonyx jubatus,live,,CZ,,,,,,,,,,,,,,,,,,,,3,,,,1,1,2,1,6,3,,,7,1,5,,1,1,3,3,1,2,,4,,,3,,,,
I,Acinonyx jubatus,live,,DD,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,DE,,18,4,,,11,4,7,4,1,3,,10,1,,,3,2,2,3,,,,,2,,2,,2,,,4,2,,,,,,1,,1,,2,,,,,,,
I,Acinonyx jubatus,live,,DJ,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,DK,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,,,,,,
I,Acinonyx jubatus,live,,ES,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,3,,,,,,,,,
I,Acinonyx jubatus,live,,FI,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,FR,,,2,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,2,,,4,,,,
I,Acinonyx jubatus,live,,GB,,2,4,5,,8,,,6,7,2,3,1,,3,5,3,3,,1,2,,,,,,,,,,,,,1,,,,,1,,,,,,2,,,,,
I,Acinonyx jubatus,live,,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
I,Acinonyx jubatus,live,,HK,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,IE,,,,,,,,,,,,1,7,9,3,6,3,3,4,4,4,2,,,,2,,,,,,,,,,,,,,,,,1,,,,4,3,,
I,Acinonyx jubatus,live,,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,
I,Acinonyx jubatus,live,,IN,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,JP,,,,,,,3,1,,,,,2,1,1,,,,,,,,2,,3,,,,,,1,1,,,,,,,,,,,,,4,,,,,
I,Acinonyx jubatus,live,,KE,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,KZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,MA,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,MN,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
I,Acinonyx jubatus,live,,MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,NA,,4,19,3,17,6,3,11,,27,29,44,38,49,54,22,28,33,32,21,66,57,40,41,2,,13,3,,,,,,4,,,,6,4,,1,,,,,,,,,
I,Acinonyx jubatus,live,,NI,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,NL,,,,2,,,12,4,2,4,3,1,1,9,9,4,5,5,18,6,2,1,2,4,4,1,10,6,2,1,7,2,,,,,,,2,2,,,,,,,,,,
I,Acinonyx jubatus,live,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
I,Acinonyx jubatus,live,,NZ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,2,2,,,,,,,,
I,Acinonyx jubatus,live,,PL,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,2,,,1,1,,,,,,,,,,,,,,,2,,,
I,Acinonyx jubatus,live,,PT,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,
I,Acinonyx jubatus,live,,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,RU,,,,,,,,,,,,,,,,,,2,8,,,3,3,,4,,,,,,,,,,1,4,6,6,14,20,,6,,3,,,,,,
I,Acinonyx jubatus,live,,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,
I,Acinonyx jubatus,live,,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,1,,2,,1,
I,Acinonyx jubatus,live,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,4,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,15,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SU,,,,,,,,,,3,,5,7,9,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,
I,Acinonyx jubatus,live,,SZ,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,TD,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,TZ,,,,,,,,2,,,4,,,,,,1,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,
I,Acinonyx jubatus,live,,US,,,,2,,1,,,,,,2,1,,,2,6,1,,4,10,4,,2,,1,,,,,,,,,,,,,,2,,,1,7,,,,,,
I,Acinonyx jubatus,live,,XX,,,1,5,,,,,,,,,,,,,,,,,6,,4,,,,,3,,,,,,6,,6,,,,10,2,4,,,,2,,6,,
I,Acinonyx jubatus,live,,YU,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
