COMPOUND	YEAR	STATE_FIPS_CODE	COUNTY_FIPS_CODE	EPEST_LOW_KG	EPEST_HIGH_KG
2,4-D	2019	01	001	3955.7	3951.6
2,4-D	2019	01	003	2519.1	2901.5
2,4-D	2019	01	005	5411.8	5639.1
2,4-D	2019	01	007	1404.8	1527.6
2,4-D	2019	01	009	17250.2	17384.7
2,4-D	2019	01	011	3496	3496
2,4-D	2019	01	013	685.4	693.8
2,4-D	2019	01	015	7778.9	8058.1
2,4-D	2019	01	017	3762.5	3780.4
2,4-D	2019	01	019	6093	7132.8
2,4-D	2019	01	021	2157.2	2694.6
2,4-D	2019	01	023	267.9	276.3
2,4-D	2019	01	025	235.5	233.5
2,4-D	2019	01	027	3200.4	3282.1
2,4-D	2019	01	029	5314.5	5349.8
2,4-D	2019	01	031	6148.2	6494.7
2,4-D	2019	01	033	9749.3	9749.3
2,4-D	2019	01	035	618.1	623.9
2,4-D	2019	01	037	1581.7	1586.2
2,4-D	2019	01	039	5420.6	5758.6
2,4-D	2019	01	041	4424.1	4603.5
2,4-D	2019	01	043	22663.7	23031.5
2,4-D	2019	01	045	2719.9	2927.8
2,4-D	2019	01	047	9796.9	9794.9
2,4-D	2019	01	049	26189.7	27189
2,4-D	2019	01	051	4616.1	4614.1
2,4-D	2019	01	053	2028.1	2055.4
2,4-D	2019	01	055	9359.4	9717.5
2,4-D	2019	01	057	1874.4	1986.1
2,4-D	2019	01	059	7198.2	7214.4
2,4-D	2019	01	061	5028.7	5825.6
2,4-D	2019	01	063	3875.6	3875.6
2,4-D	2019	01	065	7224.8	7224.8
2,4-D	2019	01	067	3981.6	4424.6
2,4-D	2019	01	069	3982.9	4387.5
2,4-D	2019	01	071	17208.9	19117.4
2,4-D	2019	01	073	773.9	791.9
2,4-D	2019	01	075	1278.7	1375.3
2,4-D	2019	01	077	14975.3	14975.3
2,4-D	2019	01	079	17015.6	17117.4
2,4-D	2019	01	081	1974.7	2001.7
2,4-D	2019	01	083	18856.1	18856.1
2,4-D	2019	01	085	11114.5	11112.5
2,4-D	2019	01	087	3235.9	3233.9
2,4-D	2019	01	089	16291.2	16291.2
2,4-D	2019	01	091	6035.7	6026.4
2,4-D	2019	01	093	3998	3998
2,4-D	2019	01	095	15449	15929.9
2,4-D	2019	01	097	932.8	1045.3
2,4-D	2019	01	099	1541.8	1563.9
2,4-D	2019	01	101	11602.8	11600.8
2,4-D	2019	01	103	7627.1	7627.9
2,4-D	2019	01	105	5303.4	5301.4
2,4-D	2019	01	107	2632.6	3031.5
2,4-D	2019	01	109	5504	5775.4
2,4-D	2019	01	111	4353.7	4477.8
2,4-D	2019	01	113	1990	2200.3
2,4-D	2019	01	115	6351.7	6356.3
2,4-D	2019	01	117	2488.6	2661
2,4-D	2019	01	119	6051.8	6039.7
2,4-D	2019	01	121	3884.4	4663.7
2,4-D	2019	01	123	2015.5	2081.5
2,4-D	2019	01	125	2370.2	2665.7
2,4-D	2019	01	127	1731.7	1822.4
2,4-D	2019	01	129	581.5	589.9
2,4-D	2019	01	131	642.7	649.1
2,4-D	2019	01	133	2745.9	2745.9
2,4-D	2019	04	001	135.8	142.2
2,4-D	2019	04	003	1382.2	1733.4
2,4-D	2019	04	005	26.1	26.1
2,4-D	2019	04	007	57.1	58.6
2,4-D	2019	04	009	781.6	1255
2,4-D	2019	04	011	99.5	122.7
2,4-D	2019	04	012	402	536.9
2,4-D	2019	04	013	2790.3	2855.9
2,4-D	2019	04	015	57.1	63.5
2,4-D	2019	04	017	49.1	49.1
2,4-D	2019	04	019	1609.9	2640.2
2,4-D	2019	04	021	5328.1	5637.6
2,4-D	2019	04	023	144	225.6
2,4-D	2019	04	025	167	174.5
2,4-D	2019	04	027	936.3	1071.2
2,4-D	2019	05	001	6042.1	8860.1
2,4-D	2019	05	003	9484.9	9999.3
2,4-D	2019	05	005	4853.3	4877.2
2,4-D	2019	05	007	6180.1	6241
2,4-D	2019	05	009	8990.8	9029.9
2,4-D	2019	05	011	728.1	727.9
2,4-D	2019	05	013	730	725.9
2,4-D	2019	05	015	7325.5	7359.1
2,4-D	2019	05	017	17906.7	18348.2
