State,State Code,County,County Code,Deaths,Births,Death Rate
Alabama,1,"Jefferson County, AL",1073,69,7751,8.9
Alabama,1,"Madison County, AL",1089,20,4514,4.43
Alabama,1,"Mobile County, AL",1097,42,5001,8.4
Alabama,1,"Unidentified Counties, AL",1999,258,40883,6.31
Alaska,2,"Anchorage Borough, AK",2020,23,3643,6.31
Alaska,2,"Unidentified Counties, AK",2999,39,5716,6.82
Arizona,4,"Maricopa County, AZ",4013,303,50706,5.98
Arizona,4,"Pima County, AZ",4019,58,9997,5.8
Arizona,4,"Pinal County, AZ",4021,32,5133,6.23
Arizona,4,"Unidentified Counties, AZ",4999,92,12711,7.24
Arkansas,5,"Pulaski County, AR",5119,37,4895,7.56
Arkansas,5,"Unidentified Counties, AR",5999,234,30576,7.65
California,6,"Alameda County, CA",6001,58,16613,3.49
California,6,"Contra Costa County, CA",6013,34,11570,2.94
California,6,"Fresno County, CA",6019,67,13950,4.8
California,6,"Kern County, CA",6029,70,12494,5.6
California,6,"Los Angeles County, CA",6037,375,95824,3.91
California,6,"Merced County, CA",6047,17,3849,4.42 (Unreliable)
California,6,"Monterey County, CA",6053,35,5691,6.15
California,6,"Orange County, CA",6059,116,30929,3.75
California,6,"Placer County, CA",6061,11,3766,2.92 (Unreliable)
California,6,"Riverside County, CA",6065,134,27878,4.81
California,6,"Sacramento County, CA",6067,96,18205,5.27
California,6,"San Bernardino County, CA",6071,117,26212,4.46
California,6,"San Diego County, CA",6073,150,37587,3.99
California,6,"San Francisco County, CA",6075,13,7115,1.83 (Unreliable)
California,6,"San Joaquin County, CA",6077,51,10091,5.05
California,6,"San Mateo County, CA",6081,19,7497,2.53 (Unreliable)
California,6,"Santa Barbara County, CA",6083,23,5670,4.06
California,6,"Santa Clara County, CA",6085,56,19080,2.94
California,6,"Solano County, CA",6095,29,4851,5.98
California,6,"Sonoma County, CA",6097,16,4468,3.58 (Unreliable)
California,6,"Stanislaus County, CA",6099,39,7071,5.52
California,6,"Tulare County, CA",6107,28,6801,4.12
California,6,"Ventura County, CA",6111,34,8642,3.93
California,6,"Unidentified Counties, CA",6999,116,26310,4.41
Colorado,8,"Adams County, CO",8001,39,6266,6.22
Colorado,8,"Arapahoe County, CO",8005,33,7674,4.3
Colorado,8,"Denver County, CO",8031,38,8649,4.39
Colorado,8,"Douglas County, CO",8035,14,3865,3.62 (Unreliable)
Colorado,8,"El Paso County, CO",8041,44,9096,4.84
Colorado,8,"Jefferson County, CO",8059,23,5446,4.22
Colorado,8,"Larimer County, CO",8069,12,3062,3.92 (Unreliable)
Colorado,8,"Weld County, CO",8123,16,4768,3.36 (Unreliable)
Colorado,8,"Unidentified Counties, CO",8999,60,11134,5.39
Connecticut,9,"Fairfield County, CT",9001,48,10203,4.7
Connecticut,9,"Hartford County, CT",9003,33,8951,3.69
Connecticut,9,"New Haven County, CT",9009,44,8580,5.13
Connecticut,9,"New London County, CT",9011,11,2572,4.28 (Unreliable)
Connecticut,9,"Unidentified Counties, CT",9999,14,5026,2.79 (Unreliable)
Delaware,10,"New Castle County, DE",10003,54,6176,8.74
Delaware,10,"Unidentified Counties, DE",10999,27,4640,5.82
District of Columbia,11,"District of Columbia, DC",11001,44,8075,5.45
Florida,12,"Brevard County, FL",12009,36,5238,6.87
Florida,12,"Broward County, FL",12011,113,21295,5.31
Florida,12,"Collier County, FL",12021,18,3476,5.18 (Unreliable)
Florida,12,"Duval County, FL",12031,92,12606,7.3
Florida,12,"Escambia County, FL",12033,30,3628,8.27
Florida,12,"Hillsborough County, FL",12057,105,17221,6.1
Florida,12,"Lake County, FL",12069,15,3805,3.94 (Unreliable)
Florida,12,"Lee County, FL",12071,32,7495,4.27
Florida,12,"Leon County, FL",12073,29,2768,10.48
Florida,12,"Manatee County, FL",12081,23,3782,6.08
Florida,12,"Marion County, FL",12083,21,3589,5.85
Florida,12,"Miami-Dade County, FL",12086,176,29765,5.91
Florida,12,"Orange County, FL",12095,94,16722,5.62
Florida,12,"Osceola County, FL",12097,20,4982,4.01
Florida,12,"Palm Beach County, FL",12099,72,15518,4.64
Florida,12,"Pasco County, FL",12101,28,5713,4.9
Florida,12,"Pinellas County, FL",12103,47,7452,6.31
Florida,12,"Polk County, FL",12105,73,9101,8.02
Florida,12,"St. Lucie County, FL",12111,23,3731,6.16
Florida,12,"Seminole County, FL",12117,27,4690,5.76
Florida,12,"Volusia County, FL",12127,31,5052,6.14
Florida,12,"Unidentified Counties, FL",12999,230,33822,6.8
Georgia,13,"Chatham County, GA",13051,36,3667,9.82
Georgia,13,"Clayton County, GA",13063,29,3391,8.55
Georgia,13,"Cobb County, GA",13067,57,8914,6.39
Georgia,13,"DeKalb County, GA",13089,71,9934,7.15
Georgia,13,"Fulton County, GA",13121,86,12258,7.02
Georgia,13,"Gwinnett County, GA",13135,69,11215,6.15
Georgia,13,"Unidentified Counties, GA",13999,544,76751,7.09
Hawaii,15,"Honolulu County, HI",15003,57,11015,5.17
Hawaii,15,"Unidentified Counties, HI",15999,33,4520,7.3
Idaho,16,"Ada County, ID",16001,23,4955,4.64
Idaho,16,"Unidentified Counties, ID",16999,95,17436,5.45
Illinois,17,"Cook County, IL",17031,316,51918,6.09
Illinois,17,"DuPage County, IL",17043,41,9739,4.21
Illinois,17,"Kane County, IL",17089,23,5495,4.19
Illinois,17,"Lake County, IL",17097,23,6730,3.42
Illinois,17,"McHenry County, IL",17111,12,3158,3.80 (Unreliable)
Illinois,17,"St. Clair County, IL",17163,21,2592,8.1
Illinois,17,"Will County, IL",17197,33,6987,4.72
Illinois,17,"Winnebago County, IL",17201,26,3287,7.91
Illinois,17,"Unidentified Counties, IL",17999,213,35787,5.95
Indiana,18,"Allen County, IN",18003,35,5150,6.8
Indiana,18,"Hamilton County, IN",18057,19,3891,4.88 (Unreliable)
Indiana,18,"Lake County, IN",18089,35,5256,6.66
Indiana,18,"Marion County, IN",18097,139,14412,9.64
Indiana,18,"St. Joseph County, IN",18141,30,3209,9.35
Indiana,18,"Unidentified Counties, IN",18999,311,47731,6.52
Iowa,19,"Polk County, IA",19153,25,6438,3.88
Iowa,19,"Unidentified Counties, IA",19999,165,30068,5.49
Kansas,20,"Johnson County, KS",20091,25,6913,3.62
Kansas,20,"Sedgwick County, KS",20173,39,6707,5.81
Kansas,20,"Unidentified Counties, KS",20999,135,20781,6.5
Kentucky,21,"Fayette County, KY",21067,19,3706,5.13 (Unreliable)
Kentucky,21,"Jefferson County, KY",21111,59,9505,6.21
Kentucky,21,"Unidentified Counties, KY",21999,223,39104,5.7
Louisiana,22,"Caddo Parish, LA",22017,36,2798,12.87
Louisiana,22,"East Baton Rouge Parish, LA",22033,49,5613,8.73
Louisiana,22,"Jefferson Parish, LA",22051,39,5417,7.2
Louisiana,22,"Orleans Parish, LA",22071,26,4045,6.43
Louisiana,22,"Unidentified Counties, LA",22999,266,38606,6.89
Maine,23,"Cumberland County, ME",23005,18,2916,6.17 (Unreliable)
Maine,23,"Unidentified Counties, ME",23999,59,9177,6.43
Maryland,24,"Anne Arundel County, MD",24003,37,6906,5.36
Maryland,24,"Baltimore County, MD",24005,59,9298,6.35
Maryland,24,"Howard County, MD",24027,20,3162,6.33
Maryland,24,"Montgomery County, MD",24031,44,11782,3.73
Maryland,24,"Prince George's County, MD",24033,92,11021,8.35
Maryland,24,"Baltimore city, MD",24510,67,7259,9.23
Maryland,24,"Unidentified Counties, MD",24999,96,19354,4.96
Massachusetts,25,"Bristol County, MA",25005,19,5649,3.36 (Unreliable)
Massachusetts,25,"Essex County, MA",25009,39,8536,4.57
Massachusetts,25,"Hampden County, MA",25013,23,4721,4.87
