country,stateprov,county,determination,release_date,status_season
USA,Wyoming,Laramie,WNS Positive,8/2/24,2022-23
USA,Wyoming,Albany,WNS Positive,8/2/24,2022-23
USA,Nebraska,Lancaster,Pd Positive,6/7/17,2016-17
USA,Nebraska,Dixon,Pd Positive,6/7/17,2016-17
USA,Nebraska,Cass,WNS Positive,3/15/17,2016-17
USA,Nebraska,Sarpy,WNS Suspect,3/15/17,2016-17
USA,Mississippi,Wayne,Pd Positive,4/24/17,2016-17
USA,Mississippi,Union,Pd Positive,3/22/17,2016-17
USA,Missouri,Newton,WNS Suspect,4/2/18,2017-18
USA,South Dakota,Jackson,Pd Positive,5/31/18,2017-18
USA,Washington,Kittitas,WNS Positive,9/4/19,2018-19
USA,Kansas,Cherokee,WNS Positive,4/2/18,2017-18
USA,Kansas,Comanche,WNS Suspect,5/30/18,2017-18
USA,Kansas,Barber,WNS Positive,4/2/18,2017-18
USA,Kansas,Kiowa,WNS Positive,5/30/18,2017-18
USA,Kansas,Pratt,WNS Positive,5/30/18,2017-18
USA,South Dakota,Custer,WNS Positive,7/2/18,2017-18
USA,Texas,Uvalde,WNS Positive,5/20/20,2019-20
USA,Texas,Guadalupe,WNS Positive,5/20/20,2019-20
USA,Texas,Comal,WNS Positive,5/20/20,2019-20
USA,Texas,Kerr,WNS Positive,5/20/20,2019-20
USA,Texas,Hays,WNS Positive,5/20/20,2019-20
USA,Texas,Travis,WNS Positive,5/20/20,2019-20
USA,Texas,Terrell,Pd Positive,5/14/21,2020-21
USA,Texas,Sutton,WNS Positive,5/20/20,2019-20
USA,Texas,Kimble,WNS Positive,5/20/20,2019-20
USA,Texas,Williamson,WNS Positive,5/20/20,2019-20
USA,Texas,Llano,WNS Positive,5/20/20,2019-20
USA,Texas,Mason,WNS Positive,5/20/20,2019-20
USA,Texas,Burnet,WNS Positive,5/20/20,2019-20
USA,Texas,Bell,WNS Positive,5/20/20,2019-20
USA,Texas,Lampasas,WNS Positive,5/20/20,2019-20
USA,Texas,McCulloch,WNS Positive,6/2/20,2019-20
USA,Texas,Freestone,Pd Positive,5/14/21,2018-19
USA,Texas,Cottle,WNS Positive,5/14/21,2020-21
USA,Texas,Hardeman,WNS Positive,5/14/21,2020-21
USA,Texas,Frio,Pd Positive,5/7/19,2018-19
USA,Texas,Victoria,Pd Positive,5/7/19,2018-19
USA,Texas,Bexar,Pd Positive,5/7/19,2018-19
USA,Texas,Kendall,Pd Presumed,4/5/18,2017-18
USA,Texas,Val Verde,Pd Positive,5/7/19,2018-19
USA,Texas,Liberty,Pd Positive,5/7/19,2018-19
USA,Texas,Blanco,Pd Presumed,4/5/18,2017-18
USA,Texas,San Saba,Pd Positive,5/7/19,2018-19
USA,Texas,Foard,Pd Presumed,4/5/18,2017-18
USA,Texas,Wheeler,Pd Presumed,4/5/18,2017-18
USA,Texas,Scurry,Pd Positive,3/22/17,2016-17
USA,Texas,King,Pd Positive,3/22/17,2016-17
USA,Texas,Childress,Pd Positive,3/22/17,2016-17
USA,Texas,Collingsworth,Pd Positive,3/22/17,2016-17
USA,Texas,Bandera,WNS Positive,5/15/20,2019-20
USA,Texas,Bastrop,WNS Positive,5/19/20,2019-20
USA,Texas,Gillespie,WNS Positive,3/5/20,2019-20
USA,North Dakota,Billings,WNS Positive,5/20/20,2019-20
CAN,Alberta,Camrose county,Pd Positive,7/2/24,2023-24
CAN,Alberta,Cyprus county,Pd Positive,7/2/24,2023-24
CAN,Alberta,Strathcona county,Pd Positive,7/2/24,2023-24
